col1
"1926 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Hack Wilson,Chicago,69,Top 25
Batting Average,Bubbles Hargrave,Cincinnati,.353,Top 25
Doubles,Jim Bottomley,St. Louis,40,Top 25
Hits,Eddie Brown,Boston,201,Top 25
Home Runs,Hack Wilson,Chicago,21,Top 25
On Base Percentage,Paul Waner,Pittsburgh,.413,Top 25
RBI,Jim Bottomley,St. Louis,120,Top 25
Runs,Kiki Cuyler,Pittsburgh,113,Top 25
Slugging Average,Cy Williams,Philadelphia,.568,Top 25
Stolen Bases,Kiki Cuyler,Pittsburgh,35,Top 25
Total Bases,Jim Bottomley,St. Louis,305,Top 25
Triples,Paul Waner,Pittsburgh,22,Top 25
Statistic,Name(s),Team(s),#,Top 25
