col1
"2019 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Rhys Hoskins,Philadelphia Phillies,116,Top 25
Batting Average,Christian Yelich,Milwaukee Brewers,.329,Top 25
Doubles,Anthony Rendon,Washington Nationals,44,Top 25
Corey Seager,Los Angeles Dodgers,44
Hits,Ozzie Albies,Atlanta Braves,189,Top 25
Home Runs,Pete Alonso,New York Mets,53,Top 25
On Base Percentage,Christian Yelich,Milwaukee Brewers,.429,Top 25
RBI,Anthony Rendon,Washington Nationals,126,Top 25
Runs,Ronald Acuna Jr.,Atlanta Braves,127,Top 25
Slugging Average,Christian Yelich,Milwaukee Brewers,.671,Top 25
Stolen Bases,Ronald Acuna Jr.,Atlanta Braves,37,Top 25
Total Bases,Cody Bellinger,Los Angeles Dodgers,351,Top 25
Triples,Eduardo Escobar,Arizona Diamondbacks,10,Top 25
Statistic,Name,Team,#,Top25
