col1
"1943 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Augie Galan,Brooklyn,103,Top 25
Batting Average,Stan Musial,St. Louis,.357,Top 25
Doubles,Stan Musial,St. Louis,48,Top 25
Hits,Stan Musial,St. Louis,220,Top 25
Home Runs,Bill Nicholson,Chicago,29,Top 25
On Base Percentage,Stan Musial,St. Louis,.425,Top 25
RBI,Bill Nicholson,Chicago,128,Top 25
Runs,Arky Vaughan,Brooklyn,112,Top 25
Slugging Average,Stan Musial,St. Louis,.562,Top 25
Stolen Bases,Arky Vaughan,Brooklyn,20,Top 25
Total Bases,Stan Musial,St. Louis,347,Top 25
Triples,Stan Musial,St. Louis,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
