col1
"1962 National League Player Review
← 1961 | 1962 Hitting Statistics League Leaders | 1963 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Eddie Mathews,Milwaukee,101,Top 25
Batting Average,Tommy Davis,Los Angeles,.346,Top 25
Doubles,Frank Robinson,Cincinnati,51,Top 25
Hits,Tommy Davis,Los Angeles,230,Top 25
Home Runs,Willie Mays,San Francisco,49,Top 25
On Base Percentage,Frank Robinson,Cincinnati,.424,Top 25
RBI,Tommy Davis,Los Angeles,153,Top 25
Runs,Frank Robinson,Cincinnati,134,Top 25
Slugging Average,Frank Robinson,Cincinnati,.624,Top 25
Stolen Bases,Maury Wills,Los Angeles,104,Top 25
Total Bases,Willie Mays,San Francisco,382,Top 25
Triples,JohnnyCallison,Philadelphia,10,Top 25
Willie Davis,Los Angeles
Bill Virdon,Pittsburgh
Maury Wills,Los Angeles
Statistic,Name(s),Team(s),#,Top 25
1962 N.L. History | 1962 A.L. History | Year-by-Year History
