col1
"1929 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Mel Ott,New York,113,Top 25
Batting Average,Lefty O'Doul,Philadelphia,.398,Top 25
Doubles,Johnny Frederick,Brooklyn,52,Top 25
Hits,Lefty O'Doul,Philadelphia,254,Top 25
Home Runs,Chuck Klein,Philadelphia,43,Top 25
On Base Percentage,Lefty O'Doul,Philadelphia,.465,Top 25
RBI,Hack Wilson,Chicago,159,Top 25
Runs,Rogers Hornsby,Chicago,156,Top 25
Slugging Average,Rogers Hornsby,Chicago,.679,Top 25
Stolen Bases,Kiki Cuyler,Chicago,43,Top 25
Total Bases,Rogers Hornsby,Chicago,409,Top 25
Triples,Lloyd Waner,Pittsburgh,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
