col1
"1989 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Jack Clark,San Diego,132,Top 25
Batting Average,Tony Gwynn,San Diego,.336,Top 25
Doubles,Pedro Guerrero,St. Louis,42,Top 25
Tim Wallach,Montreal
Hits,Tony Gwynn,San Diego,203,Top 25
Home Runs,Kevin Mitchell,San Francisco,47,Top 25
On Base Percentage,Lonnie Smith,Atlanta,.420,Top 25
RBI,Kevin Mitchell,San Francisco,125,Top 25
Runs,Howard Johnson,New York,104,Top 25
Will Clark,San Francisco
Ryne Sandberg,Chicago
Slugging Average,Kevin Mitchell,San Francisco,.635,Top 25
Stolen Bases,Vince Coleman,St. Louis,65,Top 25
Total Bases,Kevin Mitchell,San Francisco,345,Top 25
Triples,Robby Thompson,San Francisco,11,Top 25
Statistic,Name(s),Team(s),#,Top 25
