col1
"1972 National League Player Review
← 1971 | 1972 Hitting Statistics League Leaders | 1973 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Joe Morgan,Cincinnati,115,Top 25
Batting Average,Billy Williams,Chicago,.333,Top 25
Doubles,Cesar Cedeno,Houston,39,Top 25
Willie Montanez,Philadelphia
Hits,Pete Rose,Cincinnati,198,Top 25
Home Runs,Johnny Bench,Cincinnati,40,Top 25
On Base Percentage,Joe Morgan,Cincinnati,.419,Top 25
RBI,Johnny Bench,Cincinnati,125,Top 25
Runs,Joe Morgan,Cincinnati,122,Top 25
Slugging Average,Billy Williams,Chicago,.606,Top 25
Stolen Bases,Lou Brock,St. Louis,63,Top 25
Total Bases,Billy Williams,Chicago,348,Top 25
Triples,Larry Bowa,Philadelphia,13,Top 25
Statistic,Name(s),Team(s),#,Top 25
1972 N.L. History | 1972 A.L. History | Year-by-Year History
