col1
"2000 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Barry Bonds,San Francisco,117,Top 25
Batting Average,Todd Helton,Colorado,.372,Top 25
Doubles,Todd Helton,Colorado,59,Top 25
Hits,Todd Helton,Colorado,216,Top 25
Home Runs,Sammy Sosa,Chicago,50,Top 25
On Base Percentage,Todd Helton,Colorado,.463,Top 25
RBI,Todd Helton,Colorado,147,Top 25
Runs,Jeff Bagwell,Houston,152,Top 25
Slugging Average,Todd Helton,Colorado,.698,Top 25
Stolen Bases,Luis Castillo,Florida,62,Top 25
Total Bases,Todd Helton,Colorado,405,Top 25
Triples,Tony Womack,Arizona,14,Top 25
Statistic,Name,Team,#,Top 25
