col1
"1974 National League Player Review
← 1973 | 1974 Hitting Statistics League Leaders | 1975 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Darrell Evans,Atlanta,126,Top 25
Batting Average,Ralph Garr,Atlanta,.353,Top 25
Doubles,Pete Rose,Cincinnati,45,Top 25
Hits,Ralph Garr,Atlanta,214,Top 25
Home Runs,Mike Schmidt,Philadelphia,36,Top 25
On Base Percentage,Joe Morgan,Cincinnati,.430,Top 25
RBI,Johnny Bench,Cincinnati,129,Top 25
Runs,Pete Rose,Cincinnati,110,Top 25
Slugging Average,Mike Schmidt,Philadelphia,.546,Top 25
Stolen Bases,Lou Brock,St. Louis,118,Top 25
Total Bases,Johnny Bench,Cincinnati,315,Top 25
Triples,Ralph Garr,Atlanta,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
1974 N.L. History | 1974 A.L. History | Year-by-Year History
