col1
"1904 National League Player Review
← 1903 | 1904 Hitting Statistics League Leaders | 1905 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Roy Thomas,Philadelphia,102,Top 25
Batting Average,Honus Wagner,Pittsburgh,.349,Top 25
Doubles,Honus Wagner,Pittsburgh,44,Top 25
Hits,Ginger Beaumont,Pittsburgh,185,Top 25
Home Runs,Harry Lumley,Brooklyn,9,Top 25
On Base Percentage,Honus Wagner,Pittsburgh,.423,Top 25
RBI,Bill Dahlen,New York,80,Top 25
Runs,George Browne,New York,99,Top 25
Slugging Average,Honus Wagner,Pittsburgh,.520,Top 25
Stolen Bases,Honus Wagner,Pittsburgh,53,Top 25
Total Bases,Honus Wagner,Pittsburgh,255,Top 25
Triples,Harry Lumley,Brooklyn,18,Top 25
Statistic,Name(s),Team(s),#,Top 25
1904 N.L. History | 1904 A.L. History | Year-by-Year History
