col1
"1915 Federal League Player Review
← 1914 | 1915 Hitting Statistics League Leaders"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Babe Borton,St. Louis,92,Top 25
Batting Average,Benny Kauff,Brooklyn,.342,Top 25
Doubles,Steve Evans,Brooklyn,34,Top 25
Baltimore
Hits,Jack Tobin,St. Louis,184,Top 25
Home Runs,Hal Chase,Buffalo,17,Top 25
On Base Percentage,Benny Kauff,Brooklyn,.446,Top 25
RBI,Dutch Zwilling,Chicago,94,Top 25
Runs,Babe Borton,St. Louis,97,Top 25
Slugging Average,Benny Kauff,Brooklyn,.509,Top 25
Stolen Bases,Benny Kauff,Brooklyn,55,Top 25
Total Bases,Ed Konetchy,Pittsburgh,278,Top 25
Triples,Les Mann,Chicago,19,Top 25
Statistic,Name(s),Team(s),#,Top 25
F.L. Retirements | F.L. Rookies | Year-by-Year
