col1
"2023 National League Player Review
← 2022 | 2023 Hitting Statistics League Leaders | 2024 →"
Statistic,Name,Team,#,Top 25
Base on Balls,Juan Soto,San Diego Padres,132,Top 25
Batting Average,Luis Arraez,Miami Marlins,.354,Top 25
Doubles,Freddie Freeman,Los Angeles Dodgers,59,Top 25
Hits,Ronald Acuña Jr.,Atlanta Braves,217,Top 25
Home Runs,Matt Olson,Atlanta Braves,54,Top 25
On Base Percentage,Ronald Acuña Jr.,Atlanta Braves,.416,Top 25
RBI,Matt Olson,Atlanta Braves,139,Top 25
Runs,Ronald Acuña Jr.,Atlanta Braves,149,Top 25
Slugging Average,Matt Olson,Atlanta Braves,.604,Top 25
Stolen Bases,Ronald Acuña Jr.,Atlanta Braves,73,Top 25
Total Bases,Ronald Acuña Jr.,Atlanta Braves,383,Top 25
Triples,Corbin Carroll,Arizona Diamondbacks,10,Top 25
Statistic,Name,Team,#,Top 25
2023 N.L. History | 2023 A.L. History | Year-by-Year History
