col1
"1909 National League Player Review
← 1908 | 1909 Hitting Statistics League Leaders | 1910 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Fred Clarke,Pittsburgh,80,Top 25
Batting Average,Honus Wagner,Pittsburgh,.339,Top 25
Doubles,Honus Wagner,Pittsburgh,39,Top 25
Hits,Larry Doyle,New York,172,Top 25
Home Runs,Red Murray,New York,7,Top 25
On Base Percentage,Honus Wagner,Pittsburgh,.420,Top 25
RBI,Honus Wagner,Pittsburgh,100,Top 25
Runs,Tommy Leach,Pittsburgh,126,Top 25
Slugging Average,Honus Wagner,Pittsburgh,.489,Top 25
Stolen Bases,Bob Bescher,Cincinnati,54,Top 25
Total Bases,Honus Wagner,Pittsburgh,242,Top 25
Triples,Mike Mitchell,Pittsburgh,17,Top 25
Statistic,Name(s),Team(s),#,Top 25
1909 A.L. | N.L. Retirements | N.L. Rookies | Year-by-Year
