col1
"1928 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Rogers Hornsby,Boston,107,Top 25
Batting Average,Rogers Hornsby,Boston,.387,Top 25
Doubles,Paul Waner,Pittsburgh,50,Top 25
Hits,Freddie Lindstrom,New York,231,Top 25
Home Runs,Jim Bottomley,St. Louis,31,Top 25
Hack Wilson,Chicago
On Base Percentage,Rogers Hornsby,Boston,.498,Top 25
RBI,Jim Bottomley,St. Louis,136,Top 25
Runs,Paul Waner,Pittsburgh,142,Top 25
Slugging Average,Rogers Hornsby,Boston,.632,Top 25
Stolen Bases,Kiki Cuyler,Chicago,37,Top 25
Total Bases,Jim Bottomley,St. Louis,362,Top 25
Triples,Jim Bottomley,St. Louis,20,Top 25
Statistic,Name(s),Team(s),#,Top 25
