col1
"1993 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Walks,Lenny Dykstra,Philadelphia,129,Top 25
Batting Average,Andres Galarraga,Colorado,.370,Top 25
Doubles,Charlie Hayes,Colorado,45,Top 25
Hits,Lenny Dykstra,Philadelphia,194,Top 25
Home Runs,Barry Bonds,San Francisco,46,Top 25
On Base Percentage,Barry Bonds,San Francisco,.463,Top 25
RBI,Barry Bonds,San Francisco,123,Top 25
Runs,Lenny Dykstra,Philadelphia,143,Top 25
Slugging Average,Barry Bonds,San Francisco,.677,Top 25
Stolen Bases,Chuck Carr,Florida,58,Top 25
Total Bases,Barry Bonds,San Francisco,365,Top 25
Triples,Steve Finley,Houston,13,Top 25
Statistic,Name,Team,#,Top 25
