col1
"2017 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name,Team,#,Top 25
Base on Balls,Joey Votto,Cincinnati Reds,134,Top 25
Batting Average,Charlie Blackmon,Colorado Rockies,.331,Top 25
Doubles,Nolan Arenado,Colorado Rockies,43,Top 25
Daniel Murphy,Washington Nationals,43
Hits,Charlie Blackmon,Colorado Rockies,213,Top 25
Home Runs,Giancarlo Stanton,Miami Marlins,59,Top 25
On Base Percentage,Joey Votto,Cincinnati Reds,.454,Top 25
RBI,Giancarlo Stanton,Miami Marlins,132,Top 25
Runs,Charlie Blackmon,Colorado Rockies,137,Top 25
Slugging Average,Giancarlo Stanton,Miami Marlins,.631,Top 25
Stolen Bases,Dee Gordon,Miami Marlins,60,Top 25
Total Bases,Charlie Blackmon,Colorado Rockies,387,Top 25
Triples,Charlie Blackmon,Colorado Rockies,14,Top 25
Statistic,Name,Team,#,Top 25
