col1
"1938 National League Player Review
Hitting Statistics League Leaderboard"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Dolph Camilli,Brooklyn,119,Top 25
Batting Average,Ernie Lombardi,Cincinnati,.342,Top 25
Doubles,Joe Medwick,St. Louis,47,Top 25
Hits,Frank McCormick,Cincinnati,209,Top 25
Home Runs,Mel Ott,New York,36,Top 25
On Base Percentage,Mel Ott,New York,.442,Top 25
RBI,Joe Medwick,St. Louis,122,Top 25
Runs,Mel Ott,New York,116,Top 25
Slugging Average,Johnny Mize,St. Louis,.614,Top 25
Stolen Bases,Stan Hack,Chicago,16,Top 25
Total Bases,Johnny Mize,St. Louis,326,Top 25
Triples,Johnny Mize,St. Louis,16,Top 25
Statistic,Name(s),Team(s),#,Top 25
