col1
"1970 National League Player Review
← 1969 | 1970 Hitting Statistics League Leaders | 1971 →"
Statistic,Name(s),Team(s),#,Top 25
Base on Balls,Willie McCovey,San Francisco,137,Top 25
Batting Average,Rico Carty,Atlanta,.366,Top 25
Doubles,Wes Parker,Los Angeles,47,Top 25
Hits,Pete Rose,Cincinnati,205,Top 25
Billy Williams,Chicago
Home Runs,Johnny Bench,Cincinnati,45,Top 25
On Base Percentage,Rico Carty,Atlanta,.456,Top 25
RBI,Johnny Bench,Cincinnati,148,Top 25
Runs,Billy Williams,Chicago,137,Top 25
Slugging Average,Willie McCovey,San Francisco,.612,Top 25
Stolen Bases,Bobby Tolan,Cincinnati,57,Top 25
Total Bases,Billy Williams,Chicago,373,Top 25
Triples,Willie Davis,Los Angeles,16,Top 25
Statistic,Name(s),Team(s),#,Top 25
1970 N.L. History | 1970 A.L. History | Year-by-Year History
